date,diesel,gasoline
2019-09-01,1424.71,1593.94
2019-09-02,1426.13,1595.71
2019-09-03,1425.81,1594.92
2019-09-04,1424.77,1593.05
2019-09-05,1424.69,1592.56
2019-09-06,1457.01,1612.38
2019-09-07,1458.66,1613.46
2019-09-08,1459.28,1614.42
2019-09-09,1459.23,1614.07
2019-09-10,1460.05,1614.8
2019-09-11,1460.92,1615.16
2019-09-12,1461.18,1615.37
2019-09-13,1461.18,1615.32
2019-09-14,1461.36,1615.46
2019-09-15,1462.55,1615.75
2019-09-16,1463.73,1616.08
2019-09-17,1464.04,1616.54
2019-09-18,1464.3,1616.51
2019-09-19,1464.22,1616.56
2019-09-20,1464.5,1616.56
2019-09-21,1464.55,1616.68
2019-09-22,1464.63,1616.87
2019-09-23,1464.2,1616.83
2019-09-24,1464.61,1616.83
2019-09-25,1481.55,1632.27
2019-09-26,1484.35,1634.18
2019-09-27,1487.09,1636.26
2019-09-28,1487.55,1636.6
2019-09-29,1487.71,1636.67
2019-09-30,1487.71,1636.46
