date,diesel,gasoline
2019-09-01,0.00031735956838829793,0.03128542280662572
2019-09-02,0.022849888924149298,0.07141237814555268
2019-09-03,0.017772135829890345,0.05350260711857402
2019-09-04,0.0012694382735602971,0.011108592155977703
2019-09-05,0.0,0.0
2019-09-06,0.5128530625198309,0.44933121741102156
2019-09-07,0.539035226912091,0.4738154613466392
2019-09-08,0.54887337353221,0.4955792337338494
2019-09-09,0.5480799746112339,0.4876445250510102
2019-09-10,0.5610917169152607,0.5041940603037887
2019-09-11,0.5748968581402707,0.5123554749489969
2019-09-12,0.5790225325293541,0.5171163001586976
2019-09-13,0.5790225325293541,0.5159827703468594
2019-09-14,0.5818787686448701,0.5191566538199979
2019-09-15,0.6007616629641355,0.5257311267286369
2019-09-16,0.6194858774992049,0.5332124234867379
2019-09-17,0.6244049508092644,0.5436408977556155
2019-09-18,0.6285306251983478,0.5429607798685154
2019-09-19,0.6272611869247839,0.5440943096803466
2019-09-20,0.6317042208822556,0.5440943096803466
2019-09-21,0.6324976198032353,0.5468147812287469
2019-09-22,0.6337670580767991,0.5511221945137166
2019-09-23,0.6269438273563921,0.5502153706642474
2019-09-24,0.6334496985084073,0.5502153706642474
2019-09-25,0.9022532529355729,0.9002493765586053
2019-09-26,0.9466835925103112,0.9435502153706636
2019-09-27,0.9901618533798775,0.9907050555429606
2019-09-28,0.9974611234528687,0.9984130582634307
2019-09-29,1.0,1.0
2019-09-30,1.0,0.9952391747902993
